STATION_ID,STATION_NAME,FULL_STATION_NAME,STATION_NUMBER,LATITUDE,LONGITUDE,COUNTY_NAME
2158,HOME CP C A HWY 168 ,HOME CP C A HWY 168 BR,B7148110,37.2361,-119239,Fresno
2159,LINE C A HWY 168 BR ,LINE C A HWY 168 BR,B7150050,37.2444,-119.21,Fresno
2160,BIG C A GOLDEN ARROW,BIG C A GOLDEN ARROW CG,B7150310,37.2349,-119162,Fresno
2161,SAN JOAQUIN R BL SHA,SAN JOAQUIN R BL SHAKEFLAT C,B7153250,37.3133,-119334,Madera
2162,SAN JOAQUIN R A MAMM,SAN JOAQUIN R A MAMMOTH POOL,B7153500,37.3199,-119323,Fresno
2163,FRIANT KERN CA A FRI,FRIANT KERN CA A FRIANT,B7191000,36.9983,-119704,Fresno
2164,DEER C A LAKESHORE  ,DEER C A LAKESHORE,B7197850,37.2527,-119183,Fresno
2165,DEER C A LAKESHORE  ,DEER C A LAKESHORE,B7197890,37.2527,-119176,Fresno
2166,RANCHERIA C A HWY 16,RANCHERIA C A HWY 168,B7198010,37.2552,-119161,Fresno
2167,SAN JOAQUIN R SF A M,SAN JOAQUIN R SF A MONO HOT SPR,B7425050,37.3266,-119014,Fresno
2168,SHAVER LK NR DORA BE,SHAVER LK NR DORA BELLE,B7L70689182,37.1133,-119304,Fresno
2169,SHAVER LK NR STEVINS,SHAVER LK NR STEVINSON C NF,B7L70759161,37.1249,-119269,Fresno
2170,SHAVER LK A SHAVER L,SHAVER LK A SHAVER LK PT,B7L70819183,37.1347,-119306,Fresno
2171,SHAVER LK A DM      ,SHAVER LK A DM,B7L70879180,37.1449,-119301,Fresno
2172,HUNTINGTON LK MID PT,HUNTINGTON LK MID PT,B7L71389135,37.2299,-119225,Fresno
2173,HUNTINGTON LK A HOME,HUNTINGTON LK A HOME CP C COVE,B7L71399139,37.2327,-119234,Fresno
2174,HUNTINGTON LK A MN D,HUNTINGTON LK A MN DM,B7L71419127,37.2347,-119212,Fresno
2175,HUNTINGTON LK A BIG ,HUNTINGTON LK A BIG C INFLUENT,B7L71439100,37.2388,-119168,Fresno
2176,HUNTINGTON LK A LAKE,HUNTINGTON LK A LAKESHORE,B7L71499103,37.2488,-119173,Fresno
2177,BASS LK AB DM NR WIS,BASS LK AB DM NR WISHON PT,B7L71999318,37.2994,-119531,Madera
2178,MILLERTON LK NR DM  ,MILLERTON LK NR DM,B7R70059417,37.0088,-119696,Fresno
2179,MILLERTON LK A FINE ,MILLERTON LK A FINE GOLD BEND,B7R70269083,37043,-119.14,Fresno
2180,MILLERTON LK UP MID ,MILLERTON LK UP MID POINT,B7R70439360,37.0713,-119601,Fresno
2181,SILVER CR AT PANOCHE,SILVER CR AT PANOCHE RD,B8115000,36.5944,-120685,Fresno
2182,GRISWOLD C AB PANOCH,GRISWOLD C AB PANOCHE VLY,B8125310,36545,-120834,San Benito
2183,ORESTIMBA C A DELTA ,ORESTIMBA C A DELTA MENDOTA CA,B8705020,37.3322,-121102,Stanislaus
2184,KIRKER SL A HWY 4-PI,KIRKER SL A HWY 4-PITTSBURG,B8903010,38.0133,-121873,Contra Costa
2185,MARSH C A DEER VLY R,MARSH C A DEER VLY RD,B8911710,37.8846,-121776,Contra Costa
2186,MARSH C BL SYCAMORE ,MARSH C BL SYCAMORE C,B8913010,37.8866,-121818,Contra Costa
2187,MARSH C A MARSH C SP,MARSH C A MARSH C SPRINGS PARK,B8915610,37891,-121.85,Contra Costa
2188,MARSH C A CONTRA COS,MARSH C A CONTRA COSTA JAIL FARM,B8916110,37.8949,-121866,Contra Costa
2189,MARSH C BL DUNN C   ,MARSH C BL DUNN C,B8916410,37.8966,-121.87,Contra Costa
